emitent,nazwa,segment,jednostka transakcyjna,kurs odniesienia**,kurs otwarcia**,kurs min,kurs max,data/czas ost. trans.,wolumen ost. trans.,kurs ostatni*,zmiana,najlepsza oferta kupna liczba zleceń,najlepsza oferta kupna wolumen,najlepsza oferta kupna limit,najlepsza oferta sprzedaży limit,najlepsza oferta sprzedaży wolumen,najlepsza oferta sprzedaży liczba zleceń,limit transakcji,obrót skumulowany wolumen,obrót skumulowany wartość (tys. PLN)
KRUK,KRU1130,GPW RR,1,"100,5300","100,5000",-,-,2024-12-20,-,"100,4800",-,1,220,"100,4400","100,4800",88,1,10,512,"51,91"
KRUK,KRU1226,GPW RR,1,"103,5000",-,-,-,2024-12-19,-,"103,5000",-,1,7,"103,0000","104,4000",8,1,-,-,-
LOKUM DEWELOPER,LKD0627,GPW ASO,1,"100,0000",-,-,-,2024-06-18,-,"100,0000",-,-,-,-,"105,0000",5,1,-,-,-
MBANK,"MBK0125
                                    
 /P",BS ASO,1,"100,6000",-,-,-,2016-12-09,-,"100,6000",-,-,-,-,-,-,-,-,-,-
MBANK,"MBK0125
                                    
 /P",BS ASO,1,"100,6000",-,-,-,2016-12-09,-,"100,6000",-,-,-,-,-,-,-,-,-,-
MBANK,"MBK0125
                                    
 /P",GPW ASO,1,"99,9400","99,9400",-,-,2024-12-20,-,"99,9400",-,1,2,"99,9400","100,3000",1,1,1,1,"103,50"
MBANK,"MBK0125
                                    
 /P",GPW ASO,1,"99,9400","99,9400",-,-,2024-12-20,-,"99,9400",-,1,2,"99,9400","100,3000",1,1,1,1,"103,50"
MBANK,"MBK01PERP-K
                                    

                                                                                                            
                                                                                                                                                 /K",GPW ASO,1,"100,1000",-,-,-,2024-12-06,-,"100,1000",-,1,1,"100,1000","102,6000",1,1,-,-,-
MBANK,"MBK1028
                                    
 /P",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MBANK,"MBK1028
                                    
 /P",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MBANK,"MBK1028
                                    
 /P",GPW ASO,1,"102,0000",-,-,-,2024-12-19,-,"102,0000",-,1,5,"100,5000","102,0000",2,1,-,-,-
MBANK,"MBK1028
                                    
 /P",GPW ASO,1,"102,0000",-,-,-,2024-12-19,-,"102,0000",-,1,5,"100,5000","102,0000",2,1,-,-,-
MBANK,"MBK1030
                                    
 /P",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MBANK,"MBK1030
                                    
 /P",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MBANK,"MBK1030
                                    
 /P",GPW ASO,1,"102,0000",-,-,-,2024-09-23,-,"102,0000",-,1,1,"100,0000",-,-,-,-,-,-
MBANK,"MBK1030
                                    
 /P",GPW ASO,1,"102,0000",-,-,-,2024-09-23,-,"102,0000",-,1,1,"100,0000",-,-,-,-,-,-
MCI CAPITAL ASI,MCI0227,GPW RR,1,"100,6200","101,0000",-,-,2024-12-20,-,"101,4700",-,1,100,"101,1000","101,4700",127,1,7,494,"50,59"
MCI CAPITAL ASI,MCI1126,GPW RR,1,"102,5000",-,-,-,2024-12-19,-,"102,5000",-,1,300,"101,1000","102,5000",100,1,-,-,-
MCI MANAGEMENT SP. Z O.O,MCM0727,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MCI MANAGEMENT SP. Z O.O,MCM1127,GPW ASO,1,"101,5000","101,6000",-,-,2024-12-20,-,"101,5000",-,2,157,"101,5000","102,3100",89,1,12,811,"83,30"
BANK MILLENNIUM,"MIL0129
                                    
 /P",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BANK MILLENNIUM,"MIL0129
                                    
 /P",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BANK MILLENNIUM,"MIL0129
                                    
 /P",GPW ASO,1,"101,1000",-,-,-,2024-12-10,-,"101,1000",-,1,1,"99,5100","101,1500",9,1,-,-,-
BANK MILLENNIUM,"MIL0129
                                    
 /P",GPW ASO,1,"101,1000",-,-,-,2024-12-10,-,"101,1000",-,1,1,"99,5100","101,1500",9,1,-,-,-
BANK MILLENNIUM,"MIL1227
                                    
 /P",BS ASO,1,"97,5000",-,-,-,2020-10-21,-,"97,5000",-,-,-,-,-,-,-,-,-,-
BANK MILLENNIUM,"MIL1227
                                    
 /P",BS ASO,1,"97,5000",-,-,-,2020-10-21,-,"97,5000",-,-,-,-,-,-,-,-,-,-
BANK MILLENNIUM,"MIL1227
                                    
 /P",GPW ASO,1,"101,5000",-,-,-,2024-11-22,-,"101,5000",-,1,1,"101,5000",-,-,-,-,-,-
BANK MILLENNIUM,"MIL1227
                                    
 /P",GPW ASO,1,"101,5000",-,-,-,2024-11-22,-,"101,5000",-,1,1,"101,5000",-,-,-,-,-,-
MURAPOL,MUR0527,GPW ASO,1,"100,8000",-,-,-,2024-10-04,-,"100,8000",-,1,1,"100,8000",-,-,-,-,-,-
MARVIPOL DEVELOPMENT,MVP0227,GPW RR,1,"102,4400","102,3600",-,-,2024-12-20,-,"102,3600",-,1,7,"101,9000","102,3000",4,1,1,4,"4,27"
MARVIPOL DEVELOPMENT,MVP0326,GPW ASO,1,"102,0000",-,-,-,2024-12-17,-,"102,0000",-,1,5,"100,5100","102,0000",3,1,-,-,-
MARVIPOL DEVELOPMENT,MVP0526,GPW RR,1,"102,0000",-,-,-,2024-12-18,-,"102,0000",-,1,5,"101,5200","102,4000",5,1,-,-,-
MARVIPOL DEVELOPMENT,MVP0528,GPW RR,1,"101,6200","101,6100",-,-,2024-12-20,-,"101,5700",-,1,20,"101,0500","101,5700",7,1,5,53,"54,60"
MARVIPOL DEVELOPMENT,MVP0825,GPW RR,1,"100,6900",-,-,-,2024-12-19,-,"100,6900",-,1,4,"100,4000","100,7000",5,1,-,-,-
NDI FINANCE,NDI0327,GPW ASO,1,"100,4100",-,-,-,2024-12-16,-,"100,4100",-,1,3,"100,5200","103,2000",50,1,-,-,-
OLIVIA FIN,OBC0127,GPW ASO,1,"101,4900",-,-,-,2024-12-13,-,"101,4900",-,1,4,"100,0000","101,5000",20,1,-,-,-
OLIVIA FIN,OBC0226,GPW ASO,1,"103,5000",-,-,-,2024-12-19,-,"103,5000",-,2,5,"100,0000","103,0000",5,1,-,-,-
OLIVIA FIN,OBC0227,GPW ASO,1,"101,9800",-,-,-,2024-12-19,-,"101,9800",-,1,6,"101,0000","101,9700",10,1,-,-,-
OLIVIA FIN,OBC0426,GPW ASO,1,"100,5000","100,5000",-,-,2024-12-20,-,"100,5000",-,1,10,"100,1000","101,0000",10,1,1,5,"5,12"
OLIVIA FIN,OBC0526,GPW ASO,1,"100,5000",-,-,-,2024-12-19,-,"100,5000",-,1,5,"100,5000","101,4500",10,1,-,-,-
OLIVIA FIN,OBC1026,GPW ASO,1,"101,0000",-,-,-,2024-12-18,-,"101,0000",-,1,9,"100,7000","102,4900",16,2,-,-,-
OLIVIA FIN,OBC1028,GPW ASO,1,"100,0000",-,-,-,2024-12-19,-,"100,0000",-,1,69,"100,0000","100,7500",39,1,-,-,-
OLIVIA FIN,OBC1125,GPW ASO,1,"102,0000",-,-,-,2024-11-29,-,"102,0000",-,-,-,-,"102,0900",37,1,-,-,-
OLIVIA FIN,OBC1126,GPW ASO,1,"101,9500",-,-,-,2024-12-19,-,"101,9500",-,1,5,"101,3000","102,3700",12,1,-,-,-
OKAM CAPITAL,OKA0926,GPW ASO,1,"100,8700",-,-,-,2024-12-16,-,"100,8700",-,1,20,"100,8700","102,9800",50,1,-,-,-
OKAM CAPITAL,OKA1127,GPW ASO,1,"100,4900",-,-,-,2024-12-11,-,"100,4900",-,1,7,"100,0100","102,0000",10,1,-,-,-
OKAM INCITY,OKM0725,GPW ASO,1,"100,8000",-,-,-,2024-11-13,-,"100,8000",-,1,2,"100,8000",-,-,-,-,-,-
PEKABEX,PBX0625,GPW ASO,1,"99,0000",-,-,-,2024-06-27,-,"99,0000",-,1,4,"99,0000",-,-,-,-,-,-
PCC ROKITA,PCR0425,GPW RR,1,"99,1000",-,-,-,2024-12-19,-,"99,1000",-,1,100,"99,3000","99,8900",96,1,-,-,-
PCC ROKITA,PCR0426,GPW RR,1,"96,6600",-,-,-,2024-12-16,-,"96,6600",-,1,21,"96,6800","98,0000",77,2,-,-,-
PCC ROKITA,PCR0527,GPW RR,1,"98,9900",-,-,-,2024-12-17,-,"98,9900",-,1,100,"97,5500","98,9700",146,1,-,-,-
PCC ROKITA,PCR0629,GPW RR,1,"100,9900","100,9900",-,-,2024-12-20,-,"101,0000",-,1,32,"100,6100","101,0000",1,1,3,188,"19,08"
PCC ROKITA,PCR1026,GPW RR,1,"98,0000",-,-,-,2024-12-16,-,"98,0000",-,1,27,"98,1800","99,0000",103,1,-,-,-
PCC ROKITA,PCR1028,GPW RR,1,"102,5000",-,-,-,2024-12-19,-,"102,5000",-,1,30,"101,5100","103,7900",40,1,-,-,-
PCC ROKITA,PCR1228,GPW RR,1,"102,5000",-,-,-,2024-12-19,-,"102,5000",-,1,513,"101,0400","103,4900",25,1,-,-,-
PCC EXOL,PCX0925,GPW RR,1,"98,3600","98,4500",-,-,2024-12-20,-,"98,4500",-,1,24,"98,3500","98,5000",586,1,4,250,"24,62"
PCC EXOL,PCX0929,GPW RR,1,"100,4900","100,2700",-,-,2024-12-20,-,"100,3000",-,1,15,"100,2600","100,4900",10,1,3,160,"16,11"
PEKAO,PEO0127,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,"100,1500",2,1,-,-,-
PEKAO,PEO0426,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PEKAO,PEO0429,GPW ASO,1,"100,5000",-,-,-,2024-07-01,-,"100,5000",-,-,-,-,"100,9900",4,1,-,-,-
PEKAO,"PEO0631
                                    
 /P",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PEKAO,"PEO0631
                                    
 /P",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PEKAO,"PEO0631
                                    
 /P",GPW ASO,1,"100,2000",-,-,-,2024-12-12,-,"100,2000",-,1,1,"99,7000","100,4000",6,1,-,-,-
PEKAO,"PEO0631
                                    
 /P",GPW ASO,1,"100,2000",-,-,-,2024-12-12,-,"100,2000",-,1,1,"99,7000","100,4000",6,1,-,-,-
PEKAO,PEO0727,GPW ASO,1,"100,1000",-,-,-,2023-10-09,-,"100,1000",-,-,-,-,-,-,-,-,-,-
PEKAO,"PEO1027
                                    
 /P",BS ASO,1,"100,6000",-,-,-,2018-03-12,-,"100,6000",-,-,-,-,-,-,-,-,-,-
PEKAO,"PEO1027
                                    
 /P",BS ASO,1,"100,6000",-,-,-,2018-03-12,-,"100,6000",-,-,-,-,-,-,-,-,-,-
PEKAO,"PEO1027
                                    
 /P",GPW ASO,1,"101,0000","101,2000",-,-,2024-12-20,-,"101,7900",-,1,4,"101,0100","101,7900",26,1,14,689,"705,45"
PEKAO,"PEO1027
                                    
 /P",GPW ASO,1,"101,0000","101,2000",-,-,2024-12-20,-,"101,7900",-,1,4,"101,0100","101,7900",26,1,14,689,"705,45"
PEKAO,"PEO1028
                                    
 /P",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PEKAO,"PEO1028
                                    
 /P",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PEKAO,"PEO1028
                                    
 /P",GPW ASO,1,"100,6500",-,-,-,2024-10-23,-,"100,6500",-,1,1,"100,0000","101,0000",10,1,-,-,-
PEKAO,"PEO1028
                                    
 /P",GPW ASO,1,"100,6500",-,-,-,2024-10-23,-,"100,6500",-,1,1,"100,0000","101,0000",10,1,-,-,-
PEKAO,"PEO1033
                                    
 /P",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PEKAO,"PEO1033
                                    
 /P",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PEKAO,"PEO1033
                                    
 /P",GPW ASO,1,"100,4500",-,-,-,2024-12-11,-,"100,4500",-,-,-,-,"100,4500",1,1,-,-,-
PEKAO,"PEO1033
                                    
 /P",GPW ASO,1,"100,4500",-,-,-,2024-12-11,-,"100,4500",-,-,-,-,"100,4500",1,1,-,-,-
PGE,PGE0526,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PGE,PGE0526,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PGE,PGE0526,GPW ASO,1,"101,7500",-,-,-,2024-12-19,-,"101,7500",-,1,2,"100,5300","101,7500",79,1,-,-,-
PGE,PGE0526,GPW ASO,1,"101,7500",-,-,-,2024-12-19,-,"101,7500",-,1,2,"100,5300","101,7500",79,1,-,-,-
PGE,PGE0529,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PGE,PGE0529,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PGE,PGE0529,GPW ASO,1,"101,3000",-,-,-,2024-12-19,-,"101,3000",-,1,40,"101,3500","101,7500",89,1,-,-,-
PGE,PGE0529,GPW ASO,1,"101,3000",-,-,-,2024-12-19,-,"101,3000",-,1,40,"101,3500","101,7500",89,1,-,-,-
POLSKA GRUPA FARMACEUTYCZNA,PGF1026,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,1,3,"100,0000",-,-,-,-,-,-
POLSKI HOLDING NIERUCHOMOŚCI,PHN0327,GPW ASO,1,"102,8000",-,-,-,2024-12-19,-,"102,8000",-,1,2,"103,5000","104,0000",10,1,-,-,-
POLSKI HOLDING NIERUCHOMOŚCI,PHN0526,GPW ASO,1,"104,5000",-,-,-,2024-12-19,-,"104,5000",-,1,10,"103,0200","104,5000",45,1,-,-,-
ORLEN,"PKN1225
                                    

                                                                                                            
                                                                                                             /S",GPW ASO,1,"100,1000",-,-,-,2024-11-29,-,"100,1000",-,-,-,-,"115,0000",1,1,-,-,-
PKO BP,PKO0229,GPW ASO,1,"100,8500",-,-,-,2024-12-18,-,"100,8500",-,1,1,"96,0000","100,8500",3,1,-,-,-
PKO BP,"PKO0328
                                    
 /P",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PKO BP,"PKO0328
                                    
 /P",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
PKO BP,"PKO0328
                                    
 /P",GPW ASO,1,"101,7000",-,-,-,2024-12-11,-,"101,7000",-,1,5,"100,0000","101,4900",8,1,-,-,-
PKO BP,"PKO0328
                                    
 /P",GPW ASO,1,"101,7000",-,-,-,2024-12-11,-,"101,7000",-,1,5,"100,0000","101,4900",8,1,-,-,-
PKO BP,"PKO0827
                                    
 /P",BS ASO,1,"101,2500",-,-,-,2018-10-09,-,"101,2500",-,-,-,-,-,-,-,-,-,-
PKO BP,"PKO0827
                                    
 /P",BS ASO,1,"101,2500",-,-,-,2018-10-09,-,"101,2500",-,-,-,-,-,-,-,-,-,-
PKO BP,"PKO0827
                                    
 /P",GPW ASO,1,"100,9800","100,9900",-,-,2024-12-20,-,"101,0900",-,1,10,"100,9300","101,0900",10,1,4,12,"1 242,46"
PKO BP,"PKO0827
                                    
 /P",GPW ASO,1,"100,9800","100,9900",-,-,2024-12-20,-,"101,0900",-,1,10,"100,9300","101,0900",10,1,4,12,"1 242,46"
PKO BP,"PKO1034-K
                                    

                                                                                                            
                                                                                                                                                 /K",GPW ASO,1,"100,0000",-,-,-,-,-,-,-,1,1,"96,0000","104,0000",1,1,-,-,-
P4 SP. Z O.O.,PLY1226,GPW ASO,1,"100,6000",-,-,-,2024-12-02,-,"100,6000",-,1,1,"99,5000","100,6000",10,1,-,-,-
P4 SP. Z O.O.,PLY1227,GPW ASO,1,"100,3900",-,-,-,2024-12-19,-,"100,3900",-,1,3,"100,0100","100,3900",50,1,-,-,-
PRAGMAGO,PRF0127,GPW RR,1,"101,9900","102,1600",-,-,2024-12-20,-,"102,1600",-,1,400,"100,7100","102,2200",100,1,4,400,"41,63"
PRAGMAGO,PRF0326,GPW ASO,1,"101,8800",-,-,-,2024-12-16,-,"101,8800",-,1,100,"100,4000","101,8900",63,1,-,-,-
PRAGMAGO,PRF0327,GPW RR,1,"100,5500",-,-,-,2024-12-19,-,"100,5500",-,2,106,"100,5500","101,9900",81,1,-,-,-
PRAGMAGO,PRF0525,GPW RR,1,"100,5000","100,9900",-,-,2024-12-20,-,"100,9900",-,1,50,"100,0000","100,9900",40,1,1,12,"1,23"
PRAGMAGO,PRF0626,GPW ASO,1,"101,3900",-,-,-,2024-12-17,-,"101,3900",-,1,250,"101,0000","101,3700",28,1,-,-,-
PRAGMAGO,PRF0627,GPW RR,1,"101,6500","101,6500",-,-,2024-12-20,-,"101,7000",-,2,171,"101,5500","101,7000",889,2,8,333,"33,86"
PRAGMAGO,PRF0727,GPW RR,1,"101,4700","101,4700",-,-,2024-12-20,-,"100,5800",-,1,100,"100,7500","101,5500",100,1,9,424,"43,71"
PRAGMAGO,PRF0927,GPW RR,1,"100,0000","100,2900",-,-,2024-12-20,-,"100,3000",-,1,100,"100,2800","100,3000",116,2,9,272,"27,44"
PRAGMAGO,PRF1025,GPW RR,1,"100,5000",-,-,-,2024-12-18,-,"100,5000",-,1,6,"100,5000","100,9900",39,1,-,-,-
PRAGMAGO,PRF1026,GPW RR,1,"100,9900",-,-,-,2024-12-11,-,"100,9900",-,1,200,"100,4000","100,9900",28,1,-,-,-
PRAGMAGO,PRF1126,GPW RR,1,"102,7000",-,-,-,2024-12-19,-,"102,7000",-,1,70,"102,1000","102,7000",262,2,-,-,-
PRAGMAGO,PRF1225,GPW ASO,1,"100,5000",-,-,-,2024-12-17,-,"100,5000",-,1,100,"100,5000","102,0000",100,1,-,-,-
PZU,"PZU0727
                                    
 /P",BS ASO,1,"100,0000",-,-,-,2023-03-08,-,"100,0000",-,-,-,-,-,-,-,-,-,-
PZU,"PZU0727
                                    
 /P",BS ASO,1,"100,0000",-,-,-,2023-03-08,-,"100,0000",-,-,-,-,-,-,-,-,-,-
PZU,"PZU0727
                                    
 /P",GPW ASO,1,"101,9900","101,9900",-,-,2024-12-20,-,"101,9900",-,1,18,"101,6400","101,9900",6,1,4,16,"1 682,61"
PZU,"PZU0727
                                    
 /P",GPW ASO,1,"101,9900","101,9900",-,-,2024-12-20,-,"101,9900",-,1,18,"101,6400","101,9900",6,1,4,16,"1 682,61"
ROBYG,ROB0626,GPW ASO,1,"102,0000",-,-,-,2024-12-18,-,"102,0000",-,1,3,"100,5000","102,0000",38,1,-,-,-
ROBYG,"ROB1225
                                    

                                                                                                             /Z",GPW ASO,1,"100,7000",-,-,-,2024-12-03,-,"100,7000",-,-,-,-,-,-,-,-,-,-
RONSON,RON0726,GPW ASO,1,"101,9000",-,-,-,2024-12-16,-,"101,9000",-,1,10,"101,0000","102,0000",50,1,-,-,-
RONSON,RON0827,GPW ASO,1,"100,3400",-,-,-,2024-12-19,-,"100,3400",-,1,3,"100,0100","101,7900",10,1,-,-,-
RONSON,RON0928,GPW ASO,1,"99,9800","99,9300",-,-,2024-12-20,-,"99,9800",-,1,13,"99,0000","99,9800",3,1,7,109,"111,53"
R.POWER S.A.,"RPW1029
                                    

                                                                                                            
                                                                                                             /S",GPW ASO,1,"100,0000",-,-,-,-,-,-,-,1,10,"100,0000",-,-,-,-,-,-
SANTANDER BANK POLSKA,SPL0427,GPW ASO,1,"101,2400",-,-,-,2024-11-27,-,"101,2400",-,1,2,"100,0000","100,9800",1,1,-,-,-
SANTANDER BANK POLSKA,"SPL0428
                                    
 /P",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SANTANDER BANK POLSKA,"SPL0428
                                    
 /P",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
SANTANDER BANK POLSKA,"SPL0428
                                    
 /P",GPW ASO,1,"100,0000",-,-,-,2024-11-25,-,"100,0000",-,1,2,"100,0100","101,4900",1,1,-,-,-
SANTANDER BANK POLSKA,"SPL0428
                                    
 /P",GPW ASO,1,"100,0000",-,-,-,2024-11-25,-,"100,0000",-,1,2,"100,0100","101,4900",1,1,-,-,-
SANTANDER BANK POLSKA,SPL0927,GPW ASO,1,"100,2500",-,-,-,2024-12-18,-,"100,2500",-,1,1,"100,0000","100,2400",1,1,-,-,-
SANTANDER BANK POLSKA,SPL1126,GPW ASO,1,"101,2500",-,-,-,2024-08-01,-,"101,2500",-,1,2,"100,0000",-,-,-,-,-,-
INVEST TDJ ESTATE,TDJ1226,GPW ASO,1,"103,5000",-,-,-,2024-12-16,-,"103,5000",-,1,1,"102,0000","103,5000",39,1,-,-,-
TAURON POLSKA ENERGIA,"TPE1025
                                    

                                                                                                            
                                                                                                             /S",GPW ASO,1,"101,0000","100,9900",-,-,2024-12-20,-,"100,9900",-,1,10,"100,3000","100,9900",5,1,1,13,"13,28"
UNIDEVELOPMENT,UDV0426,GPW ASO,1,"100,9000",-,-,-,2024-12-12,-,"100,9000",-,1,1,"100,9000","101,8000",61,1,-,-,-
UNIDEVELOPMENT,UDV0726,GPW ASO,1,"101,0000",-,-,-,2024-08-20,-,"101,0000",-,1,2,"100,5000",-,-,-,-,-,-
UNIBEP SA,UNI1026,GPW ASO,1,"99,6000","99,5500",-,-,2024-12-20,-,"99,6000",-,-,-,-,"99,6000",476,1,4,409,"41,51"
VEHIS FINANSE,VHI0526,GPW ASO,1,"102,9800",-,-,-,2024-12-19,-,"102,9800",-,1,10,"102,0000","102,9800",12,1,-,-,-
VEHIS FINANSE,VHI0626,GPW ASO,1,"102,5500","102,5500",-,-,2024-12-20,-,"102,5500",-,1,12,"101,6000","102,5500",12,1,1,10,"10,26"
VICTORIA DOM SPÓŁKA AKCYJNA,VI10825,GPW ASO,1,"100,9900","101,0000",-,-,2024-12-20,-,"101,0000",-,1,4,"100,5000","101,4000",46,1,1,3,"3,05"
VICTORIA DOM SPÓŁKA AKCYJNA,VID0326,GPW ASO,1,"102,6000",-,-,-,2024-12-19,-,"102,6000",-,1,3,"102,7000","103,0900",16,3,-,-,-
VICTORIA DOM SPÓŁKA AKCYJNA,VID0427,GPW ASO,1,"101,1000","101,5000",-,-,2024-12-20,-,"101,5000",-,2,25,"101,5000","102,2900",19,2,1,5,"5,21"
VICTORIA DOM SPÓŁKA AKCYJNA,VID0626,GPW ASO,1,"102,9500",-,-,-,2024-12-19,-,"102,9500",-,1,4,"100,1000","103,3700",10,1,-,-,-
VICTORIA DOM SPÓŁKA AKCYJNA,VID0827,GPW ASO,1,"101,0000",-,-,-,2024-12-19,-,"101,0000",-,1,2,"100,5600","101,3300",5,1,-,-,-
VICTORIA DOM SPÓŁKA AKCYJNA,VID0926,GPW ASO,1,"103,5700",-,-,-,2024-12-19,-,"103,5700",-,1,8,"100,6100","103,5700",27,1,-,-,-
VICTORIA DOM SPÓŁKA AKCYJNA,VID1226,GPW ASO,1,"101,0000",-,-,-,2024-12-19,-,"101,0000",-,1,3,"101,1700","102,7200",12,1,-,-,-
VICTORIA DOM SPÓŁKA AKCYJNA,VID1227,GPW ASO,1,"100,5000","100,5000",-,-,2024-12-20,-,"101,6800",-,2,11,"100,5000","101,6800",1,1,9,65,"65,74"
VINDEXUS,VIN0127,GPW ASO,1,"103,4900","103,9800",-,-,2024-12-20,-,"103,9800",-,2,130,"102,9300","103,9400",322,2,2,136,"14,45"
VINDEXUS,VIN0327,GPW ASO,1,"102,5800","102,5800",-,-,2024-12-20,-,"102,5800",-,1,150,"101,5800","102,5900",72,1,1,70,"7,18"
VINDEXUS,VIN0727,GPW ASO,1,"101,5000",-,-,-,2024-12-10,-,"101,5000",-,3,184,"101,5000","103,0000",8,1,-,-,-
VOXEL,VOX0625,GPW ASO,1,"101,0000",-,-,-,2024-12-19,-,"101,0000",-,1,3,"100,1100","103,9900",35,2,-,-,-
WB ELECTRONICS,WBE1126,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
WHITE STONE DEVELOPMENT,WSD0427,GPW ASO,1,"101,0000",-,-,-,2024-12-18,-,"101,0000",-,2,9,"100,6000","103,5000",11,1,-,-,-
WHITE STONE DEVELOPMENT,WSD0627,GPW ASO,1,"101,0000",-,-,-,2024-12-13,-,"101,0000",-,1,20,"100,5000","103,3000",19,1,-,-,-
