emitent,nazwa,segment,jednostka transakcyjna,kurs odniesienia**,kurs otwarcia**,kurs min,kurs max,data/czas ost. trans.,wolumen ost. trans.,kurs ostatni*,zmiana,najlepsza oferta kupna liczba zleceń,najlepsza oferta kupna wolumen,najlepsza oferta kupna limit,najlepsza oferta sprzedaży limit,najlepsza oferta sprzedaży wolumen,najlepsza oferta sprzedaży liczba zleceń,limit transakcji,obrót skumulowany wolumen,obrót skumulowany wartość (tys. PLN),Bond Name,Nominal Value,Maturity Date,Days to Maturity,Days to Next Payment,Interest Type,Nominal Margin,Current Period Interest
BBI DEVELOPMENT,BBI0225,GPW ASO,1,"97,7400","96,0000",-,-,2024-12-20,-,"99,4900",-,1,15,"93,8000","99,5000",9,2,6,84,"83,75",BBI0225,"1,000.00",2025-02-24,63.0,64,CB-FC-PPzmienne (WIBOR6M + marża),7.75%,13.60%
BANK POCZTOWY,"BPO0626
                                    
 /P",GPW ASO,1,"102,5000","102,5000",-,-,2024-12-20,-,"102,5000",-,1,53,"102,5000","102,5000",150,1,1,50,"5,15",,,,,,,,
BEST,BS10228,GPW ASO,1,"99,7000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BS10228,100.00,2028-02-15,1149.0,55,CB-FC-PPzmienne (WIBOR3M + marża),4.90%,10.74%
BEST,BS10327,GPW RR,1,"102,0000","103,0000",-,-,2024-12-20,-,"101,5000",-,1,50,"100,7000","103,0000",105,2,3,208,"21,20",BS10327,100.00,2027-03-14,811.0,82,CB-FC-POzmienne (WIBOR3M + marża),4.50%,10.37%
BEST,BS10829,GPW RR,1,"100,9200","101,0000",-,-,2024-12-20,-,"101,2700",-,1,11,"101,0000","101,2700",46,1,4,254,"25,91",BS10829,100.00,2029-08-22,1703.0,62,CB-FC-POzmienne (WIBOR3M + marża),4.20%,10.05%
BEST,BST0128,GPW RR,1,"102,2000",-,-,-,2024-12-19,-,"102,2000",-,1,60,"102,3000","102,9600",52,1,-,-,-,BST0128,100.00,2028-01-25,1128.0,34,CB-FC-POzmienne (WIBOR3M + marża),5.00%,10.85%
BEST,BST0226,GPW ASO,1,"99,6300",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,BST0226,100.00,2026-02-17,421.0,57,CB-FC-POzmienne (WIBOR3M + marża),3.85%,9.68%
BEST,BST0228,GPW RR,1,"102,9200","102,8700",-,-,2024-12-20,-,"102,8800",-,1,100,"102,5000","102,8800",27,2,4,41,"4,26",BST0228,100.00,2028-02-25,1159.0,65,CB-FC-POzmienne (WIBOR3M + marża),5.00%,10.85%
BEST,BST0327,GPW RR,1,"102,5000","102,8900",-,-,2024-12-20,-,"102,9000",-,1,21,"101,7000","102,8900",37,1,2,100,"10,34",BST0327,100.00,2027-03-07,804.0,75,CB-FC-POzmienne (WIBOR3M + marża),4.00%,9.85%
BEST,BST0527,GPW ASO,1,"102,6500","102,5000",-,-,2024-12-20,-,"102,5000",-,1,15,"100,0000","102,6500",44,1,1,3,"3,12",BST0527,"1,000.00",2027-05-08,866.0,48,CB-FC-PPzmienne (WIBOR3M + marża),4.70%,10.52%
BEST,BST0726,GPW RR,1,"95,4700",-,-,-,2024-12-19,-,"95,4700",-,1,115,"95,0000","95,4000",84,1,-,-,-,BST0726,100.00,2026-07-23,577.0,32,CB-XC-POstałe,4.40%,
BEST,BST0728,GPW RR,1,"102,9900","102,9900",-,-,2024-12-20,-,"102,9900",-,1,45,"102,4000","102,9900",162,1,1,18,"1,89",BST0728,100.00,2028-07-18,1303.0,27,CB-FC-PPzmienne (WIBOR3M + marża),5.00%,10.85%
BEST,BST0829,GPW RR,1,"101,9800","101,9900",-,-,2024-12-20,-,"102,0000",-,1,55,"101,5200","102,0000",1,1,4,330,"34,09",BST0829,100.00,2029-08-07,1688.0,47,CB-FC-POzmienne (WIBOR3M + marża),4.50%,10.35%
BEST,BST1026,GPW RR,1,"103,0000","101,6100",-,-,2024-12-20,-,"101,5000",-,2,139,"101,5000","102,9600",37,1,6,464,"48,12",BST1026,100.00,2026-10-08,654.0,17,CB-FC-PPzmienne (WIBOR3M + marża),4.20%,10.05%
BEST,BST1029,GPW RR,1,"99,5000","99,5900",-,-,2024-12-20,-,"99,8500",-,3,42,"99,7800","99,8500",150,1,25,824,"83,42",BST1029,100.00,2029-10-30,1772.0,39,CB-FC-POzmienne (WIBOR3M + marża),3.80%,9.65%
BEST,BST1126,GPW ASO,1,"101,2000",-,-,-,2024-12-11,-,"101,2000",-,1,21,"101,2000",-,-,-,-,-,-,BST1126,"1,000.00",2026-11-21,698.0,61,CB-FC-PPzmienne (WIBOR3M + marża),5.00%,10.85%
BEST,BST1226,GPW RR,1,"101,1000","102,0000",-,-,2024-12-20,-,"102,4900",-,1,100,"101,1100","102,4800",80,1,11,1691,"171,45",BST1226,100.00,2026-12-20,727.0,88,CB-FC-POzmienne (WIBOR3M + marża),4.50%,10.35%
BUDLEX FINANCE,BXF0727,GPW ASO,1,"102,5000",-,-,-,2024-12-17,-,"102,5000",-,1,5,"100,0000","102,3900",3,1,-,-,-,BXF0727,"1,000.00",2027-12-18,1090.0,21,CB-FC-PPzmienne (WIBOR3M + marża),6.00%,11.85%
BUDLEX FINANCE,BXF1027,GPW ASO,1,"100,9500",-,-,-,2024-12-19,-,"100,9500",-,1,4,"100,0600","101,6300",51,1,-,-,-,BXF1027,"1,000.00",2027-12-18,1090.0,17,CB-FC-PPzmienne (WIBOR3M + marża),5.75%,11.61%
BUDLEX FINANCE,BXF1126,GPW ASO,1,"101,0000","102,0000",-,-,2024-12-20,-,"102,0000",-,1,1,"102,0000","103,9800",8,2,2,32,"18,45",BXF1126,"1,000.00",2026-11-06,683.0,46,CB-FC-PPzmienne (WIBOR3M + marża),6.50%,12.35%
BUDLEX FINANCE,BXF1226,GPW ASO,1,"101,9500",-,-,-,2024-12-19,-,"101,9500",-,1,5,"100,5000","103,1800",10,1,-,-,-,BXF1226,"1,000.00",2026-12-04,711.0,72,CB-FC-PPzmienne (WIBOR3M + marża),6.50%,12.35%
CAVATINA HOLDING,CA11225,GPW RR,1,"98,8900","99,6200",-,-,2024-12-20,-,"99,6300",-,1,5,"98,6000","99,9000",10,1,2,11,"10,96",CA11225,"1,000.00",2025-12-30,372.0,8,CB-FC-POzmienne (WIBOR6M + marża),6.00%,11.86%
CAVATINA HOLDING,CAV0327,GPW RR,1,"96,1100","96,1600",-,-,2024-12-20,-,"97,8900",-,1,3,"96,7000","97,8800",6,1,2,33,"32,77",CAV0327,"1,000.00",2027-03-26,823.0,94,CB-FC-POzmienne (WIBOR6M + marża),6.00%,11.85%
CAVATINA HOLDING,CAV0526,GPW RR,1,"99,5500","99,0000",-,-,2024-12-20,-,"99,0000",-,1,8,"97,2800","99,5000",5,1,1,8,"8,02",CAV0526,"1,000.00",2026-05-17,510.0,146,CB-FC-PPzmienne (WIBOR6M + marża),6.00%,11.84%
CAVATINA HOLDING,CAV0627,GPW RR,1,"97,1900","97,2000",-,-,2024-12-20,-,"97,2000",-,1,5,"96,8000","97,4000",10,1,4,13,"12,66",CAV0627,"1,000.00",2027-06-22,911.0,182,CB-FC-POzmienne (WIBOR6M + marża),6.00%,11.78%
CAVATINA HOLDING,CAV0925,GPW RR,1,"99,1000","98,0000",-,-,2024-12-20,-,"98,9500",-,1,10,"99,1500","99,4500",2,1,2,44,"44,73",CAV0925,"1,000.00",2025-09-08,259.0,76,CB-FC-POzmienne (WIBOR6M + marża),6.00%,11.85%
CAVATINA HOLDING,CAV0927,GPW ASO,1,"96,0000","96,1200",-,-,2024-12-20,-,"96,1200",-,1,5,"96,2100","98,7100",8,1,1,20,"19,93",CAV0927,"1,000.00",2027-09-11,992.0,79,CB-FC-PPzmienne (WIBOR6M + marża),6.00%,11.85%
CAVATINA HOLDING,CAV0928,GPW RR,1,"98,1800",-,-,-,2024-12-18,-,"98,1800",-,1,96,"96,0100","97,8900",100,1,-,-,-,CAV0928,100.00,2028-09-12,1359.0,80,CB-FC-POzmienne (WIBOR6M + marża),6.00%,11.85%
CAVATINA HOLDING,CAV1127,GPW ASO,1,"98,0000","98,2000",-,-,2024-12-20,-,"98,2000",-,1,22,"97,0100","98,9700",50,1,2,75,"7,48",CAV1127,100.00,2027-11-09,1051.0,138,CB-FC-PPzmienne (WIBOR6M + marża),6.00%,11.84%
CAVATINA HOLDING,CAV1128,GPW RR,1,"97,0000","97,4700",-,-,2024-12-20,-,"97,9900",-,1,100,"97,0000","98,4400",62,1,19,1485,"146,43",CAV1128,100.00,2028-11-18,1426.0,147,CB-FC-POzmienne (WIBOR6M* + marża),6.00%,11.81%
CAVATINA HOLDING,CAV1225,GPW RR,1,"98,4000","98,5000",-,-,2024-12-20,-,"99,9900",-,1,3,"99,5000","99,8500",5,1,7,39,"38,65",CAV1225,"1,000.00",2025-12-30,372.0,8,CB-FC-POzmienne (WIBOR6M + marża),6.00%,11.86%
CAVATINA HOLDING,CAV1226,GPW RR,1,"99,0000","99,0000",-,-,2024-12-20,-,"99,0000",-,1,10,"98,0000","98,9900",4,3,1,4,"3,99",CAV1226,"1,000.00",2026-12-05,712.0,165,CB-FC-PPzmienne (WIBOR6M + marża),6.00%,11.79%
CAVATINA HOLDING,CAV1227,GPW RR,1,"98,2200","98,2200",-,-,2024-12-20,-,"98,6100",-,1,100,"98,0000","98,6100",90,1,7,226,"22,25",CAV1227,100.00,2027-12-19,1091.0,179,CB-FC-POzmienne (WIBOR6M + marża),6.00%,11.78%
CCC,"CCC0626
                                    

                                                                                                             /Z",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
CCC,"CCC0626
                                    

                                                                                                             /Z",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
CCC,"CCC0626
                                    

                                                                                                             /Z",GPW ASO,1,"100,2800",-,-,-,2024-12-13,-,"100,2800",-,-,-,-,-,-,-,-,-,-,,,,,,,,
CCC,"CCC0626
                                    

                                                                                                             /Z",GPW ASO,1,"100,2800",-,-,-,2024-12-13,-,"100,2800",-,-,-,-,-,-,-,-,-,-,,,,,,,,
COGNOR,CO10129,GPW ASO,1,"96,0000","96,0000",-,-,2024-12-20,-,"96,0000",-,1,4,"96,0000","97,5500",19,1,1,5,"5,03",CO10129,"1,000.00",2029-01-15,1484.0,24,CB-FC-PPzmienne (WIBOR6M + marża),4.20%,10.07%
COGNOR,COG0129,GPW ASO,1,"96,0000","96,0000",-,-,2024-12-20,-,"96,0000",-,1,20,"95,2500","96,0000",40,1,6,47,"47,26",COG0129,"1,000.00",2029-01-15,1484.0,24,CB-FC-PPzmienne (WIBOR6M + marża),4.20%,10.07%
