emitent,nazwa,segment,jednostka transakcyjna,kurs odniesienia**,kurs otwarcia**,kurs min,kurs max,data/czas ost. trans.,wolumen ost. trans.,kurs ostatni*,zmiana,najlepsza oferta kupna liczba zleceń,najlepsza oferta kupna wolumen,najlepsza oferta kupna limit,najlepsza oferta sprzedaży limit,najlepsza oferta sprzedaży wolumen,najlepsza oferta sprzedaży liczba zleceń,limit transakcji,obrót skumulowany wolumen,obrót skumulowany wartość (tys. PLN),Bond Name,Nominal Value,Maturity Date,Days to Maturity,Days to Next Payment,Interest Type,Nominal Margin,Current Period Interest
ERBUD,ERB0925,GPW ASO,1,"100,3000",-,-,-,2024-12-19,-,"100,3000",-,1,15,"99,5000","100,3000",1,1,-,-,-,ERB0925,"1,000.00",2025-09-23,274.0,91,CB-FC-PPzmienne (WIBOR6M + marża),2.60%,8.45%
EUROCASH,EUR1225,GPW ASO,1,"100,0000",-,-,-,2024-12-19,-,"100,0000",-,1,10,"100,1000","100,3400",6,1,-,-,-,EUR1225,"1,000.00",2025-12-23,365.0,1,CB-FC-PPzmienne (WIBOR6M + marża),2.25%,8.11%
GHELAMCO INVEST,"GHE0128
                                    

                                                                                                            
                                                                                                             /S",GPW RR,1,"100,7900","100,6400",-,-,2024-12-20,-,"101,2000",-,1,88,"101,0000","101,2000",26,1,15,2172,"230,61",,,,,,,,
GHELAMCO INVEST,"GHE0226
                                    

                                                                                                            
                                                                                                             /S",GPW ASO,1,"100,5000","100,5000",-,-,2024-12-20,-,"100,9600",-,1,20,"100,5100","100,9600",49,3,13,116,"122,00",,,,,,,,
GHELAMCO INVEST,"GHE0327
                                    

                                                                                                            
                                                                                                             /S",GPW ASO,1,"100,5000","100,5000",-,-,2024-12-20,-,"101,0000",-,2,20,"101,0000","101,1000",20,1,6,66,"68,15",,,,,,,,
GHELAMCO INVEST,"GHE0728
                                    

                                                                                                            
                                                                                                             /S",GPW ASO,1,"100,4000","100,4000",-,-,2024-12-20,-,"100,7900",-,1,13,"100,6000","100,7900",42,1,5,62,"65,45",,,,,,,,
GHELAMCO INVEST,"GHE1027
                                    

                                                                                                            
                                                                                                             /S",GPW RR,1,"101,0000","101,3000",-,-,2024-12-20,-,"101,5000",-,3,1858,"101,0000","101,5000",628,2,5,601,"61,92",,,,,,,,
GHELAMCO INVEST,"GHE1127
                                    

                                                                                                            
                                                                                                             /S",GPW ASO,1,"100,5000","100,9800",-,-,2024-12-20,-,"100,9800",-,1,20,"100,9000","101,9900",116,1,1,22,"22,48",,,,,,,,
GHELAMCO INVEST,"GHE1128
                                    

                                                                                                            
                                                                                                             /S",GPW ASO,1,"100,7500","100,7400",-,-,2024-12-20,-,"100,6000",-,1,10,"100,5400","100,6500",125,1,14,414,"422,33",,,,,,,,
GHELAMCO INVEST,GHI0725,GPW ASO,1,"100,8800","100,5000",-,-,2024-12-20,-,"100,5000",-,1,15,"100,3000","100,8800",90,1,1,10,"10,54",GHI0725,"1,000.00",2025-07-16,205.0,25,CB-FC-PPzmienne (WIBOR6M + marża),5.00%,10.87%
GHELAMCO INVEST,GHI0925,GPW ASO,1,"100,9000","100,5900",-,-,2024-12-20,-,"100,8900",-,1,21,"100,3500","100,8900",6,1,2,24,"24,79",GHI0925,"1,000.00",2025-09-29,280.0,97,CB-FC-PPzmienne (WIBOR6M + marża),5.00%,10.85%
HM INWEST,HMI0327,GPW ASO,1,"100,0400","100,2500",-,-,2024-12-20,-,"100,1300",-,2,60,"100,1400","101,5400",55,1,5,152,"15,74",HMI0327,100.00,2027-03-07,804.0,75,CB-FC-PPzmienne (WIBOR6M + marża),5.00%,10.85%
HM INWEST,HMI0627,GPW ASO,1,"101,5500","101,5200",-,-,2024-12-20,-,"101,5200",-,1,50,"101,5000","101,5000",50,1,3,100,"10,22",HMI0627,100.00,2027-06-06,895.0,166,CB-FC-PPzmienne (WIBOR6M + marża),6.00%,11.78%
I2 DEVELOPMENT,I2D0225,GPW ASO,1,"99,0000","99,0000",-,-,2024-12-20,-,"99,0000",-,1,5,"98,8000","99,0000",2,1,9,172,"171,40",I2D0225,"1,000.00",2025-02-13,52.0,53,CB-XC-PPstałe,5.40%,
INTERNETOWY FUNDUSZ LEASINGOWY,IFL0334,GPW ASO,1,"100,2300",-,-,-,2024-12-13,-,"100,2300",-,1,10,"99,8000","100,2300",29,1,-,-,-,IFL0334,"1,000.00",2034-03-31,3385.0,9,CB-FC-PPzmienne (WIBOR3M* + marża),2.00%,7.85%
INFINITY,INF0326,GPW ASO,1,"102,3700",-,-,-,2024-12-13,-,"102,3700",-,1,7,"100,0200","102,3600",200,1,-,-,-,INF0326,750.00,2026-03-16,448.0,84,CB-FC-PPzmienne (WIBOR3M + marża),5.60%,11.46%
INFINITY,INY0225,GPW ASO,1,"100,9000",-,-,-,2024-12-04,-,"100,9000",-,-,-,-,-,-,-,-,-,-,INY0225,600.00,2025-02-10,49.0,50,CB-FC-PPzmienne (WIBOR3M + marża),4.80%,10.64%
INFINITY,INY0725,GPW ASO,1,"100,2200",-,-,-,2024-11-06,-,"100,2200",-,-,-,-,"105,0000",3,1,-,-,-,INY0725,600.00,2025-07-12,201.0,21,CB-FC-PPzmienne (WIBOR3M + marża),4.80%,10.65%
INPRO SA,INP1025,GPW ASO,1,"99,9900",-,-,-,2023-04-14,-,"99,9900",-,-,-,-,-,-,-,-,-,-,INP1025,"1,000.00",2025-10-07,288.0,106,CB-FC-PPzmienne (WIBOR6M + marża),2.75%,8.60%
INDOS,"INS0126
                                    

                                                                                                             /Z",GPW ASO,1,"101,9800",-,-,-,2024-10-22,-,"101,9800",-,-,-,-,-,-,-,-,-,-,,,,,,,,
INDOS,INS0127,GPW ASO,1,"104,0000",-,-,-,2024-12-18,-,"104,0000",-,1,15,"101,0300","104,0000",5,1,-,-,-,INS0127,"1,000.00",2027-01-19,757.0,28,CB-FC-PPzmienne (WIBOR3M + marża),5.80%,11.65%
INDOS,INS0228,GPW ASO,1,"101,5000",-,-,-,2024-12-09,-,"101,5000",-,1,28,"98,0000","101,9000",20,1,-,-,-,INS0228,"1,000.00",2028-02-19,1153.0,59,CB-FC-PPzmienne (WIBOR3M + marża),4.75%,10.60%
INDOS,INS0526,GPW ASO,1,"102,0000",-,-,-,2024-12-18,-,"102,0000",-,1,10,"100,9000","102,4000",10,1,-,-,-,INS0526,"1,000.00",2026-05-23,516.0,63,CB-FC-PPzmienne (WIBOR3M + marża),5.50%,11.35%
INPOST SOCIÉTÉ ANONYME W LUKSE,IPT0627,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,IPT0627,"500,000.00",2027-06-29,918.0,17,CB-FC-PPzmienne (WIBOR6M + marża),2.50%,8.36%
JHM DEVELOPMENT,JHM1225,GPW ASO,1,"102,0000",-,-,-,2024-02-09,-,"102,0000",-,-,-,-,-,-,-,-,-,-,JHM1225,"1,000.00",2025-12-17,359.0,177,CB-FC-PPzmienne (WIBOR6M + marża),4.90%,10.68%
KGHM POLSKA MIEDŹ SA,KGH0629,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KGH0629,"1,000.00",2029-06-27,1647.0,5,CB-FC-PPzmienne (WIBOR6M + marża),1.65%,7.51%
KGHM POLSKA MIEDŹ SA,KGH0629,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KGH0629,"1,000.00",2029-06-27,1647.0,5,CB-FC-PPzmienne (WIBOR6M + marża),1.65%,7.51%
KGHM POLSKA MIEDŹ SA,KGH0629,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KGH0629,"1,000.00",2029-06-27,1647.0,5,CB-FC-PPzmienne (WIBOR6M + marża),1.65%,7.51%
KGHM POLSKA MIEDŹ SA,KGH0629,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KGH0629,"1,000.00",2029-06-27,1647.0,5,CB-FC-PPzmienne (WIBOR6M + marża),1.65%,7.51%
KGHM POLSKA MIEDŹ SA,KGH0629,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KGH0629,"1,000.00",2029-06-27,1647.0,5,CB-FC-PPzmienne (WIBOR6M + marża),1.65%,7.51%
KGHM POLSKA MIEDŹ SA,KGH0629,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KGH0629,"1,000.00",2029-06-27,1647.0,5,CB-FC-PPzmienne (WIBOR6M + marża),1.65%,7.51%
KGHM POLSKA MIEDŹ SA,KGH0629,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KGH0629,"1,000.00",2029-06-27,1647.0,5,CB-FC-PPzmienne (WIBOR6M + marża),1.65%,7.51%
KGHM POLSKA MIEDŹ SA,KGH0629,BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,KGH0629,"1,000.00",2029-06-27,1647.0,5,CB-FC-PPzmienne (WIBOR6M + marża),1.65%,7.51%
KGHM POLSKA MIEDŹ SA,KGH0629,GPW ASO,1,"102,1500","102,6400",-,-,2024-12-20,-,"102,6400",-,1,3,"102,3000","102,9700",3,1,4,1104,"1 133,15",KGH0629,"1,000.00",2029-06-27,1647.0,5,CB-FC-PPzmienne (WIBOR6M + marża),1.65%,7.51%
KGHM POLSKA MIEDŹ SA,KGH0629,GPW ASO,1,"102,1500","102,6400",-,-,2024-12-20,-,"102,6400",-,1,3,"102,3000","102,9700",3,1,4,1104,"1 133,15",KGH0629,"1,000.00",2029-06-27,1647.0,5,CB-FC-PPzmienne (WIBOR6M + marża),1.65%,7.51%
KGHM POLSKA MIEDŹ SA,KGH0629,GPW ASO,1,"102,1500","102,6400",-,-,2024-12-20,-,"102,6400",-,1,3,"102,3000","102,9700",3,1,4,1104,"1 133,15",KGH0629,"1,000.00",2029-06-27,1647.0,5,CB-FC-PPzmienne (WIBOR6M + marża),1.65%,7.51%
KGHM POLSKA MIEDŹ SA,KGH0629,GPW ASO,1,"102,1500","102,6400",-,-,2024-12-20,-,"102,6400",-,1,3,"102,3000","102,9700",3,1,4,1104,"1 133,15",KGH0629,"1,000.00",2029-06-27,1647.0,5,CB-FC-PPzmienne (WIBOR6M + marża),1.65%,7.51%
KGHM POLSKA MIEDŹ SA,KGH0629,GPW ASO,1,"102,1500","102,6400",-,-,2024-12-20,-,"102,6400",-,1,3,"102,3000","102,9700",3,1,4,1104,"1 133,15",KGH0629,"1,000.00",2029-06-27,1647.0,5,CB-FC-PPzmienne (WIBOR6M + marża),1.65%,7.51%
KGHM POLSKA MIEDŹ SA,KGH0629,GPW ASO,1,"102,1500","102,6400",-,-,2024-12-20,-,"102,6400",-,1,3,"102,3000","102,9700",3,1,4,1104,"1 133,15",KGH0629,"1,000.00",2029-06-27,1647.0,5,CB-FC-PPzmienne (WIBOR6M + marża),1.65%,7.51%
KGHM POLSKA MIEDŹ SA,KGH0629,GPW ASO,1,"102,1500","102,6400",-,-,2024-12-20,-,"102,6400",-,1,3,"102,3000","102,9700",3,1,4,1104,"1 133,15",KGH0629,"1,000.00",2029-06-27,1647.0,5,CB-FC-PPzmienne (WIBOR6M + marża),1.65%,7.51%
KGHM POLSKA MIEDŹ SA,KGH0629,GPW ASO,1,"102,1500","102,6400",-,-,2024-12-20,-,"102,6400",-,1,3,"102,3000","102,9700",3,1,4,1104,"1 133,15",KGH0629,"1,000.00",2029-06-27,1647.0,5,CB-FC-PPzmienne (WIBOR6M + marża),1.65%,7.51%
KGHM POLSKA MIEDŹ SA,KGH0631,GPW ASO,1,"101,1600","101,1600",-,-,2024-12-20,-,"101,1600",-,1,10,"100,8000","101,1600",51,1,2,23,"23,27",KGH0631,"1,000.00",2031-06-26,2376.0,4,CB-FC-PPzmienne (WIBOR6M + marża),1.25%,7.11%
KREDYT INKASO,KIN1025,GPW RR,1,"100,6000","100,5000",-,-,2024-12-20,-,"100,5000",-,1,80,"100,5000","100,8000",30,1,2,50,"5,03",KIN1025,100.00,2025-10-23,304.0,9,CB-FC-POzmienne (WIBOR3M + marża),4.90%,10.76%
KREDYT INKASO,KRI0228,GPW RR,1,"102,5000","103,4900",-,-,2024-12-20,-,"103,9700",-,2,31,"103,0000","103,9700",1,1,5,22,"23,16",KRI0228,"1,000.00",2028-02-07,1141.0,47,CB-FC-PPzmienne (WIBOR3M + marża),5.50%,11.35%
KREDYT INKASO,KRI0329,GPW ASO,1,"102,5900","101,8000",-,-,2024-12-20,-,"101,8000",-,1,3,"101,6000","102,4900",5,1,1,8,"6,27",KRI0329,750.01,2029-03-28,1556.0,96,CB-FC-PPzmienne (WIBOR6M + marża),4.90%,10.75%
KREDYT INKASO,KRI0427,GPW RR,1,"102,6000",-,-,-,2024-12-12,-,"102,6000",-,1,20,"101,9000","102,9000",20,1,-,-,-,KRI0427,"1,000.00",2027-04-14,842.0,23,CB-FC-PPzmienne (WIBOR3M + marża),5.50%,11.35%
KREDYT INKASO,KRI0726,GPW RR,1,"101,0000",-,-,-,2024-12-18,-,"101,0000",-,1,500,"101,0000","101,4700",254,1,-,-,-,KRI0726,100.00,2026-07-27,581.0,36,CB-FC-POzmienne (WIBOR3M + marża),4.70%,10.55%
KREDYT INKASO,KRI0727,GPW RR,1,"102,6000","102,5000",-,-,2024-12-20,-,"103,0000",-,1,15,"102,4000","103,4000",10,1,3,7,"7,36",KRI0727,"1,000.00",2027-07-13,932.0,22,CB-FC-PPzmienne (WIBOR3M + marża),5.50%,11.35%
KREDYT INKASO,KRI1025,GPW RR,1,"99,3000",-,-,-,2024-12-03,-,"99,3000",-,1,100,"98,2000","99,7000",100,1,-,-,-,KRI1025,100.00,2025-10-19,300.0,28,CB-XC-POstałe,6.00%,
KREDYT INKASO,KRI1027,GPW ASO,1,"102,0000",-,-,-,2024-12-11,-,"102,0000",-,1,20,"102,0000","103,4900",9,1,-,-,-,KRI1027,"1,000.00",2027-10-04,1015.0,103,CB-FC-PPzmienne (WIBOR6M + marża),5.50%,11.35%
KREDYT INKASO,KRI1127,GPW RR,1,"102,9100","103,6000",-,-,2024-12-20,-,"103,6000",-,1,15,"103,0000","104,0000",15,1,1,7,"7,32",KRI1127,"1,000.00",2027-11-28,1070.0,68,CB-FC-PPzmienne (WIBOR3M + marża),5.50%,11.35%
KREDYT INKASO,KRI1128,GPW ASO,1,"101,1000",-,-,-,2024-12-19,-,"101,1000",-,1,20,"99,8000","101,0000",54,1,-,-,-,KRI1128,"1,000.00",2028-11-12,1420.0,52,CB-FC-PPzmienne (WIBOR3M* + marża),4.20%,10.04%
KRUK,KR10228,GPW RR,1,"103,6200","103,6100",-,-,2024-12-20,-,"103,0600",-,1,48,"103,0600","103,6000",106,3,5,124,"12,95",KR10228,100.00,2028-02-20,1154.0,60,CB-FC-POzmienne (WIBOR3M + marża),4.00%,9.85%
KRUK,KR10627,GPW RR,1,"102,8500",-,-,-,2024-12-19,-,"102,8500",-,1,50,"101,5100","102,8500",54,1,-,-,-,KR10627,100.00,2027-06-01,890.0,69,CB-FC-POzmienne (WIBOR3M + marża),3.30%,9.15%
KRUK,KR11029,GPW RR,1,"100,5000","100,5000",-,-,2024-12-20,-,"100,8000",-,1,1938,"100,8000","101,0000",99,1,5,340,"34,82",KR11029,100.00,2029-10-22,1764.0,29,CB-FC-POzmienne (WIBOR3M + marża),3.00%,8.85%
KRUK,KR20229,GPW RR,1,"103,6300","103,6500",-,-,2024-12-20,-,"104,0000",-,1,100,"103,7100","104,0000",75,1,7,258,"27,01",KR20229,100.00,2029-02-23,1523.0,63,CB-FC-POzmienne (WIBOR3M + marża),4.00%,9.85%
KRUK,KRU0129,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,1,20,"100,0000",-,-,-,-,-,-,KRU0129,"1,000.00",2029-01-04,1473.0,13,CB-FC-PPzmienne (WIBOR3M + marża),4.50%,10.35%
KRUK,KRU0226,GPW RR,1,"97,1800",-,-,-,2024-12-18,-,"97,1800",-,1,1,"96,3600","97,0000",17,1,-,-,-,KRU0226,100.00,2026-02-18,422.0,58,CB-XC-POstałe,4.20%,
KRUK,KRU0227,GPW RR,1,"104,3000",-,-,-,2024-12-18,-,"104,3000",-,1,100,"102,1000","104,2900",40,1,-,-,-,KRU0227,100.00,2027-02-08,777.0,48,CB-FC-PPzmienne (WIBOR3M + marża),3.30%,9.12%
KRUK,KRU0228,GPW ASO,1,"102,0000",-,-,-,2024-10-08,-,"102,0000",-,-,-,-,-,-,-,-,-,-,KRU0228,850.00,2028-02-02,1136.0,42,CB-FC-PPzmienne (WIBOR3M + marża),3.20%,9.06%
KRUK,KRU0325,GPW ASO,1,"101,0000",-,-,-,2024-12-19,-,"101,0000",-,1,7,"101,0000","102,0000",10,1,-,-,-,KRU0325,"1,000.00",2025-03-27,94.0,5,CB-FC-PPzmienne (WIBOR3M + marża),4.00%,9.85%
KRUK,KRU0625,GPW ASO,1,"102,0000",-,-,-,2024-12-19,-,"102,0000",-,1,10,"101,5000","102,5000",20,1,-,-,-,KRU0625,"1,000.00",2025-06-28,187.0,6,CB-FC-PPzmienne (WIBOR3M + marża),4.00%,9.85%
KRUK,KRU0626,GPW RR,1,"95,1000",-,-,-,2024-12-19,-,"95,1000",-,1,100,"95,8600","96,2200",50,2,-,-,-,KRU0626,100.00,2026-06-10,534.0,79,CB-XC-PPstałe,4.00%,
KRUK,KRU0627,GPW ASO,1,"102,5000","102,6000",-,-,2024-12-20,-,"102,7000",-,2,47,"102,6000","104,0000",50,1,3,37,"37,98",KRU0627,"1,000.00",2027-06-28,917.0,6,CB-FC-PPzmienne (WIBOR3M + marża),3.70%,9.55%
KRUK,KRU0628,GPW RR,1,"103,3600","104,0000",-,-,2024-12-20,-,"104,0000",-,1,4970,"104,0000","104,4000",157,1,1,30,"3,13",KRU0628,100.00,2028-06-13,1268.0,81,CB-FC-POzmienne (WIBOR3M + marża),4.00%,9.85%
KRUK,KRU0726,GPW RR,1,"95,5100","95,5100",-,-,2024-12-20,-,"95,9900",-,1,100,"95,2100","95,9900",90,1,4,3271,"314,61",KRU0726,100.00,2026-07-09,563.0,18,CB-XC-POstałe,4.00%,
KRUK,KRU0827,GPW RR,1,"102,5000",-,-,-,2024-12-18,-,"102,5000",-,1,79,"102,0100","103,2700",146,1,-,-,-,KRU0827,100.00,2027-08-12,962.0,52,CB-FC-PPzmienne (WIBOR3M + marża),3.30%,9.14%
KRUK,KRU0828,GPW RR,1,"104,4000","103,3100",-,-,2024-12-20,-,"103,3200",-,1,95,"103,3500","104,5900",99,1,4,400,"41,87",KRU0828,100.00,2028-08-08,1324.0,48,CB-FC-POzmienne (WIBOR3M + marża),4.00%,9.82%
KRUK,KRU0925,GPW RR,1,"98,8700","98,5000",-,-,2024-12-20,-,"98,1200",-,1,43,"98,1200","98,8700",101,1,3,163,"16,02",KRU0925,100.00,2025-09-25,276.0,3,CB-XC-PPstałe,4.80%,
KRUK,KRU1028,GPW RR,1,"104,3500","104,4200",-,-,2024-12-20,-,"105,9400",-,1,3,"104,4200","105,8900",42,1,2,62,"6,71",KRU1028,100.00,2028-10-03,1380.0,12,CB-FC-PPzmienne (WIBOR3M + marża),4.00%,9.85%
KRUK,KRU1029,GPW ASO,1,"107,4000",-,-,-,2024-12-06,-,"107,4000",-,1,2,"106,5000","109,4000",11,1,-,-,-,KRU1029,"1,000.00",2029-10-17,1759.0,26,CB-FC-PPzmienne (WIBOR3M + marża),4.65%,10.52%
KRUK,KRU1127,GPW RR,1,"103,9400","103,9400",-,-,2024-12-20,-,"103,9400",-,1,21,"103,2400","103,9400",316,1,2,2010,"210,55",KRU1127,100.00,2027-11-28,1070.0,68,CB-FC-POzmienne (WIBOR3M + marża),4.00%,9.85%
KRUK,KRU1130,GPW RR,1,"100,5300","100,5000",-,-,2024-12-20,-,"100,4800",-,1,220,"100,4400","100,4800",88,1,10,512,"51,91",KRU1130,100.00,2030-11-19,2157.0,60,CB-FC-POzmienne (WIBOR3M + marża),3.00%,8.85%
KRUK,KRU1226,GPW RR,1,"103,5000",-,-,-,2024-12-19,-,"103,5000",-,1,7,"103,0000","104,4000",8,1,-,-,-,KRU1226,100.00,2026-12-16,723.0,84,CB-FC-POzmienne (WIBOR3M + marża),3.40%,9.26%
LOKUM DEWELOPER,LKD0627,GPW ASO,1,"100,0000",-,-,-,2024-06-18,-,"100,0000",-,-,-,-,"105,0000",5,1,-,-,-,LKD0627,"1,000.00",2027-06-18,907.0,178,CB-FC-PPzmienne (WIBOR6M + marża),3.85%,9.63%
MBANK,"MBK0125
                                    
 /P",BS ASO,1,"100,6000",-,-,-,2016-12-09,-,"100,6000",-,-,-,-,-,-,-,-,-,-,,,,,,,,
MBANK,"MBK0125
                                    
 /P",BS ASO,1,"100,6000",-,-,-,2016-12-09,-,"100,6000",-,-,-,-,-,-,-,-,-,-,,,,,,,,
MBANK,"MBK0125
                                    
 /P",GPW ASO,1,"99,9400","99,9400",-,-,2024-12-20,-,"99,9400",-,1,2,"99,9400","100,3000",1,1,1,1,"103,50",,,,,,,,
MBANK,"MBK0125
                                    
 /P",GPW ASO,1,"99,9400","99,9400",-,-,2024-12-20,-,"99,9400",-,1,2,"99,9400","100,3000",1,1,1,1,"103,50",,,,,,,,
MBANK,"MBK01PERP-K
                                    

                                                                                                            
                                                                                                                                                 /K",GPW ASO,1,"100,1000",-,-,-,2024-12-06,-,"100,1000",-,1,1,"100,1000","102,6000",1,1,-,-,-,,,,,,,,
MBANK,"MBK1028
                                    
 /P",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
MBANK,"MBK1028
                                    
 /P",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
MBANK,"MBK1028
                                    
 /P",GPW ASO,1,"102,0000",-,-,-,2024-12-19,-,"102,0000",-,1,5,"100,5000","102,0000",2,1,-,-,-,,,,,,,,
MBANK,"MBK1028
                                    
 /P",GPW ASO,1,"102,0000",-,-,-,2024-12-19,-,"102,0000",-,1,5,"100,5000","102,0000",2,1,-,-,-,,,,,,,,
MBANK,"MBK1030
                                    
 /P",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
MBANK,"MBK1030
                                    
 /P",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
MBANK,"MBK1030
                                    
 /P",GPW ASO,1,"102,0000",-,-,-,2024-09-23,-,"102,0000",-,1,1,"100,0000",-,-,-,-,-,-,,,,,,,,
MBANK,"MBK1030
                                    
 /P",GPW ASO,1,"102,0000",-,-,-,2024-09-23,-,"102,0000",-,1,1,"100,0000",-,-,-,-,-,-,,,,,,,,
MCI CAPITAL ASI,MCI0227,GPW RR,1,"100,6200","101,0000",-,-,2024-12-20,-,"101,4700",-,1,100,"101,1000","101,4700",127,1,7,494,"50,59",MCI0227,100.00,2027-02-18,787.0,58,CB-FC-POzmienne (WIBOR3M + marża),3.50%,9.34%
MCI CAPITAL ASI,MCI1126,GPW RR,1,"102,5000",-,-,-,2024-12-19,-,"102,5000",-,1,300,"101,1000","102,5000",100,1,-,-,-,MCI1126,100.00,2026-11-15,692.0,55,CB-FC-PPzmienne (WIBOR3M + marża),3.50%,9.33%
MCI MANAGEMENT SP. Z O.O,MCM0727,GPW ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,MCM0727,"1,000.00",2024-07-28,-148.0,null,CB-FC-PPzmienne,,
MCI MANAGEMENT SP. Z O.O,MCM1127,GPW ASO,1,"101,5000","101,6000",-,-,2024-12-20,-,"101,5000",-,2,157,"101,5000","102,3100",89,1,12,811,"83,30",MCM1127,100.00,2027-11-14,1056.0,143,CB-FC-PPzmienne (WIBOR6M + marża),4.30%,10.14%
BANK MILLENNIUM,"MIL0129
                                    
 /P",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
BANK MILLENNIUM,"MIL0129
                                    
 /P",BS ASO,1,"100,0000",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
BANK MILLENNIUM,"MIL0129
                                    
 /P",GPW ASO,1,"101,1000",-,-,-,2024-12-10,-,"101,1000",-,1,1,"99,5100","101,1500",9,1,-,-,-,,,,,,,,
BANK MILLENNIUM,"MIL0129
                                    
 /P",GPW ASO,1,"101,1000",-,-,-,2024-12-10,-,"101,1000",-,1,1,"99,5100","101,1500",9,1,-,-,-,,,,,,,,
BANK MILLENNIUM,"MIL1227
                                    
 /P",BS ASO,1,"97,5000",-,-,-,2020-10-21,-,"97,5000",-,-,-,-,-,-,-,-,-,-,,,,,,,,
BANK MILLENNIUM,"MIL1227
                                    
 /P",BS ASO,1,"97,5000",-,-,-,2020-10-21,-,"97,5000",-,-,-,-,-,-,-,-,-,-,,,,,,,,
BANK MILLENNIUM,"MIL1227
                                    
 /P",GPW ASO,1,"101,5000",-,-,-,2024-11-22,-,"101,5000",-,1,1,"101,5000",-,-,-,-,-,-,,,,,,,,
BANK MILLENNIUM,"MIL1227
                                    
 /P",GPW ASO,1,"101,5000",-,-,-,2024-11-22,-,"101,5000",-,1,1,"101,5000",-,-,-,-,-,-,,,,,,,,
MURAPOL,MUR0527,GPW ASO,1,"100,8000",-,-,-,2024-10-04,-,"100,8000",-,1,1,"100,8000",-,-,-,-,-,-,MUR0527,"100,000.00",2027-05-28,886.0,68,CB-FC-PPzmienne (WIBOR3M + marża),4.00%,9.85%
MARVIPOL DEVELOPMENT,MVP0227,GPW RR,1,"102,4400","102,3600",-,-,2024-12-20,-,"102,3600",-,1,7,"101,9000","102,3000",4,1,1,4,"4,27",MVP0227,"1,000.00",2027-02-04,773.0,44,CB-FC-POzmienne (WIBOR6M + marża),5.40%,11.27%
MARVIPOL DEVELOPMENT,MVP0326,GPW ASO,1,"102,0000",-,-,-,2024-12-17,-,"102,0000",-,1,5,"100,5100","102,0000",3,1,-,-,-,MVP0326,"1,000.00",2026-03-02,434.0,71,CB-FC-PPzmienne (WIBOR6M + marża),5.50%,11.36%
MARVIPOL DEVELOPMENT,MVP0526,GPW RR,1,"102,0000",-,-,-,2024-12-18,-,"102,0000",-,1,5,"101,5200","102,4000",5,1,-,-,-,MVP0526,"1,000.00",2026-05-08,501.0,137,CB-FC-POzmienne (WIBOR6M + marża),5.50%,11.34%
MARVIPOL DEVELOPMENT,MVP0528,GPW RR,1,"101,6200","101,6100",-,-,2024-12-20,-,"101,5700",-,1,20,"101,0500","101,5700",7,1,5,53,"54,60",MVP0528,"1,000.00",2028-05-07,1231.0,136,CB-FC-POzmienne (WIBOR6M + marża),4.50%,10.34%
MARVIPOL DEVELOPMENT,MVP0825,GPW RR,1,"100,6900",-,-,-,2024-12-19,-,"100,6900",-,1,4,"100,4000","100,7000",5,1,-,-,-,MVP0825,"1,000.00",2025-08-03,223.0,43,CB-FC-POzmienne (WIBOR6M + marża),4.50%,10.37%
NDI FINANCE,NDI0327,GPW ASO,1,"100,4100",-,-,-,2024-12-16,-,"100,4100",-,1,3,"100,5200","103,2000",50,1,-,-,-,NDI0327,"1,000.00",2027-03-25,822.0,3,CB-FC-PPzmienne (WIBOR3M + marża),4.50%,10.35%
OLIVIA FIN,OBC0127,GPW ASO,1,"101,4900",-,-,-,2024-12-13,-,"101,4900",-,1,4,"100,0000","101,5000",20,1,-,-,-,OBC0127,"1,000.00",2027-01-14,752.0,23,CB-FC-PPzmienne (WIBOR3M + marża),6.00%,11.85%
