Bond Name,Quantity,Average Coupon,Average Years to Maturity,Data pobrania
BST0726,2,1.3,1.1816939890710383,2024-12-29 20:50:59
KRI1025,3,1.3,1.1816939890710383,2024-12-29 20:50:59
