emitent,nazwa,segment,jednostka transakcyjna,kurs odniesienia**,kurs otwarcia**,kurs min,kurs max,data/czas ost. trans.,wolumen ost. trans.,kurs ostatni*,zmiana,najlepsza oferta kupna liczba zleceń,najlepsza oferta kupna wolumen,najlepsza oferta kupna limit,najlepsza oferta sprzedaży limit,najlepsza oferta sprzedaży wolumen,najlepsza oferta sprzedaży liczba zleceń,limit transakcji,obrót skumulowany wolumen,obrót skumulowany wartość (tys. PLN),data pobrania
BEST,BST0728,GPW RR,1,"103,8000",-,-,-,2025-01-28,-,"103,8000",-,1,90,"103,8000","104,4900",136,1,-,-,-,2025-01-29 11:53:04
BEST,BST0829,GPW RR,1,"101,5000",-,-,-,2025-01-28,-,"101,5000",-,1,13,"101,2200","101,8700",51,1,-,-,-,2025-01-29 11:53:04
BEST,BST1026,GPW RR,1,"102,0000",-,-,-,2025-01-22,-,"102,0000",-,1,20,"100,5100","101,9900",14,1,-,-,-,2025-01-29 11:53:04
BEST,BST1029,GPW RR,1,"99,8800","99,8800","99,8500","99,8800",10:25:34,68,"99,8500",-0.03,1,75,"99,8000","99,8500",458,1,4,137,"13,69",2025-01-29 11:53:04
BEST,BST1126,GPW ASO,1,"101,2000",-,-,-,2024-12-11,-,"101,2000",-,1,7,"101,2000",-,-,-,-,-,-,2025-01-29 11:53:04
BEST,BST1226,GPW RR,1,"102,0300","102,0300","102,0300","102,0300",09:37:27,5,"102,0300",0.00,1,14,"102,0300","102,2000",60,1,1,5,"0,52",2025-01-29 11:53:04
BUDLEX FINANCE,BXF0727,GPW ASO,1,"101,0000",-,-,-,2025-01-21,-,"101,0000",-,1,10,"100,5000","102,4800",37,1,-,-,-,2025-01-29 11:53:04
BUDLEX FINANCE,BXF1027,GPW ASO,1,"101,2000","101,4400","101,4400","101,4400",09:25:50,2,"101,4400",0.24,1,8,"101,0000","101,4400",8,1,4,20,"20,43",2025-01-29 11:53:04
BUDLEX FINANCE,BXF1126,GPW ASO,1,"102,5500",-,-,-,2025-01-23,-,"102,5500",-,-,-,-,"103,9900",8,2,-,-,-,2025-01-29 11:53:04
BUDLEX FINANCE,BXF1226,GPW ASO,1,"103,5000",-,-,-,2025-01-15,-,"103,5000",-,1,10,"100,5000","103,5000",1,1,-,-,-,2025-01-29 11:53:04
CAVATINA HOLDING,CA11225,GPW RR,1,"100,3600",-,-,-,2025-01-24,-,"100,3600",-,2,3,"100,0000","100,3400",19,1,-,-,-,2025-01-29 11:53:04
CAVATINA HOLDING,CAV0327,GPW RR,1,"99,5000","99,4500","99,4500","99,4500",10:29:15,9,"99,4500",-0.05,1,10,"99,0100","99,4000",89,1,1,9,"9,32",2025-01-29 11:53:04
CAVATINA HOLDING,CAV0526,GPW RR,1,"100,3900",-,-,-,2025-01-24,-,"100,3900",-,1,6,"99,0400","100,3800",19,1,-,-,-,2025-01-29 11:53:04
CAVATINA HOLDING,CAV0627,GPW RR,1,"99,7500",-,-,-,2025-01-27,-,"99,7500",-,1,8,"99,0300","100,1400",18,1,-,-,-,2025-01-29 11:53:04
CAVATINA HOLDING,CAV0925,GPW RR,1,"100,0000","100,2700","100,2700","100,2700",10:26:55,2,"100,2700",0.27,1,2,"100,0000","100,2500",2,1,2,10,"10,50",2025-01-29 11:53:04
CAVATINA HOLDING,CAV0927,GPW ASO,1,"99,0000","99,0000","99,0000","99,0000",10:08:45,14,"99,0000",0.00,1,4,"99,1000","99,5500",33,1,2,24,"24,87",2025-01-29 11:53:04
CAVATINA HOLDING,CAV0928,GPW RR,1,"98,8700",-,-,-,2025-01-28,-,"98,8700",-,1,30,"97,9200","98,8400",30,1,-,-,-,2025-01-29 11:53:04
CAVATINA HOLDING,CAV1127,GPW ASO,1,"99,9900",-,-,-,2025-01-27,-,"99,9900",-,1,20,"99,0200","99,9900",198,1,-,-,-,2025-01-29 11:53:04
CAVATINA HOLDING,CAV1128,GPW RR,1,"98,8900",-,-,-,2025-01-28,-,"98,8900",-,1,40,"98,4000","98,8500",200,1,-,-,-,2025-01-29 11:53:04
CAVATINA HOLDING,CAV1225,GPW RR,1,"100,0900","100,0900","100,0900","100,1000",11:05:22,11,"100,1000",0.01,1,9,"99,1500","100,1000",19,1,3,24,"24,27",2025-01-29 11:53:04
CAVATINA HOLDING,CAV1226,GPW RR,1,"99,9000",-,-,-,2025-01-28,-,"99,9000",-,1,5,"99,5000","100,4300",9,1,-,-,-,2025-01-29 11:53:04
